词性,出现次数
/r/v/r/v/v,21
/u/n/v/n/u,6
/d/d/v/v/r,8
/d/u/n/v/r,3
/m/v/v/v/m,3
/n/v/u/r/r,3
/r/v/v/v/d,18
/n/v/u/v/u,24
/d/d/v/v/n,20
/u/d/n/v/d,3
/n/d/v/n/d,13
/n/a/n/n/d,3
/n/n/v/m/v,3
/r/v/v/n/n,13
/v/n/a/v/v,12
/v/n/d/n/n,7
/v/v/v/v/nh,8
/u/r/v/v/v,28
/n/r/v/n/d,8
/r/v/v/r/v,7
/d/n/n/v/v,41
/n/n/r/v/n,11
/d/d/u/u/u,2
/d/d/v/v/d,5
/v/v/n/u/n,23
/u/u/n/v/n,6
/v/v/m/n/v,3
/u/d/v/v/n,10
/v/v/n/d/n,30
/v/v/n/m/v,8
/u/v/n/nh/v,4
/n/nd/n/v/n,3
/n/r/d/r/v,3
/n/v/v/r/d,10
/v/d/n/c/v,4
/v/p/n/v/n,4
/v/n/u/d/n,3
/v/v/a/v/u,7
/u/v/d/n/v,8
/d/v/v/v/d,49
/q/u/v/v/v,3
/a/u/u/r/v,2
/d/r/n/v/v,8
/d/v/p/n/u,2
/d/v/r/u/p,2
/m/v/v/r/m,2
/n/d/v/p/u,2
/n/n/v/v/r,14
/n/v/v/a/n,11
/v/d/n/r/v,10
/d/v/v/u/d,10
/v/r/u/v/v,14
/v/v/r/d/d,3
/d/v/v/r/r,6
/u/v/n/n/u,3
/v/v/r/r/v,9
/v/n/r/n/r,5
/v/v/r/d/v,9
/v/v/v/nd/v,4
/d/v/nh/v/r,3
/n/n/v/a/v,8
/n/v/a/v/u,4
/n/v/u/v/n,46
/v/a/v/u/v,3
/n/r/d/n/d,4
/p/v/d/n/d,4
/a/u/v/v/v,5
/d/v/d/v/v,49
/d/v/v/n/r,6
/n/a/v/v/v,13
/nh/v/v/v/v,17
/u/v/v/v/nh,3
/v/d/n/v/r,6
/a/v/v/n/n,2
/c/v/n/v/v,8
/d/d/v/nh/v,2
/d/v/n/d/n,11
/n/u/d/v/n,6
/v/u/n/u/v,3
/v/v/n/n/u,8
/u/d/v/n/v,6
/u/v/u/v/r,3
/u/v/v/v/r,25
/a/d/u/r/v,2
/a/v/d/n/n,2
/a/v/d/d/v,5
/n/m/v/v/v,3
/u/n/u/v/v,11
/v/u/d/v/d,3
/u/d/n/v/v,10
/u/d/n/n/v,4
/r/d/v/v/v,10
/u/n/v/n/d,9
/v/r/v/n/u,7
/v/v/u/d/n,14
/d/d/d/v/d,5
/m/v/u/v/v,3
/n/n/c/v/n,3
/n/u/n/u/n,3
/u/n/u/n/n,6
/v/n/u/n/u,3
/v/n/v/d/nh,3
/v/v/n/r/v,30
/p/n/n/n/n,3
/v/v/u/n/v,41
/a/n/v/v/nd,2
/a/q/v/u/r,2
/a/r/v/n/d,2
/m/u/n/v/v,6
/n/n/v/q/n,6
/r/v/d/v/n,6
/v/m/v/v/n,12
/v/n/a/n/m,3
/d/n/d/n/v,9
/d/v/n/v/d,23
/n/c/v/u/v,3
/n/d/n/n/p,3
/n/n/n/u/v,10
/n/v/n/m/v,3
/u/v/v/n/d,17
/v/v/n/p/v,12
/n/n/n/u/u,3
/n/n/v/p/n,3
/v/n/v/r/d,7
/a/v/v/u/n,9
/d/u/r/n/r,3
/d/v/n/v/r,3
/n/v/r/d/n,6
/m/v/v/u/n,3
/n/r/u/v/v,12
/v/u/v/n/d,5
/d/v/v/d/n,9
/d/m/v/v/n,6
/n/d/m/v/d,3
/v/d/u/v/d,6
/m/n/u/n/n,3
/n/n/v/d/v,32
/v/nh/u/v/r,4
/n/d/d/d/v,3
/d/m/v/v/v,5
/n/n/m/v/v,3
/r/u/v/u/v,3
/v/v/r/u/v,16
/r/v/u/u/r,3
/n/v/n/v/p,3
/n/v/v/m/v,3
/r/u/n/d/n,3
/n/u/u/n/v,6
/u/n/d/v/u,9
/v/u/v/r/r,4
/d/v/u/v/r,3
/u/v/d/n/u,3
/u/v/d/d/v,4
/n/v/v/u/d,15
/r/n/v/v/n,10
/v/n/d/n/r,3
/n/v/n/d/m,3
/n/v/nd/n/v,3
/v/v/d/n/u,5
/v/m/v/n/d,4
/v/v/m/v/n,14
/d/n/c/v/v,3
/n/d/v/v/m,3
/r/n/d/v/v,6
/d/d/n/n/v,3
/n/nh/v/v/v,5
/n/u/n/v/u,6
/n/v/u/u/v,3
/u/n/v/u/u,3
/u/v/u/v/a,3
/n/r/n/n/v,16
/a/d/u/n/v,2
/d/n/v/d/d,2
/d/u/v/r/u,2
/d/v/u/v/q,2
/d/u/v/n/v,22
/d/v/d/n/n,3
/n/q/v/v/n,3
/n/v/v/u/u,12
/v/n/m/n/m,3
/v/u/v/r/n,3
/m/m/m/m/m,34
/n/a/u/d/v,3
/r/v/r/u/v,6
/v/v/n/n/m,3
/m/d/v/n/p,3
/n/n/d/n/n,3
/v/n/v/v/c,4
/d/n/v/n/d,12
/v/d/n/n/v,19
/u/v/n/n/d,4
/n/v/u/n/v,22
/r/v/n/n/v,12
/v/r/v/v/p,3
/a/d/v/v/v,11
/a/v/v/c/v,2
/a/v/v/n/nh,2
/d/a/v/v/n,7
/r/v/r/v/n,9
/d/v/v/u/u,7
/v/u/u/v/u,4
/u/v/u/n/r,3
/a/n/v/n/v,17
/d/n/v/n/u,11
/n/v/n/u/m,9
/r/d/u/v/v,6
/r/v/v/r/d,6
/u/n/r/n/d,6
/u/r/u/r/u,6
/d/r/nh/v/n,3
/n/r/v/n/v,27
/a/v/d/n/v,4
/a/v/u/v/v,11
/v/d/v/n/m,3
/d/d/v/n/d,5
/c/m/n/d/a,5
/c/v/r/u/v,5
/d/a/u/n/v,5
/d/c/m/n/d,5
/d/u/c/v/r,5
/m/n/d/a/u,5
/m/n/n/d/c,5
/d/r/m/v/n,3
/d/v/u/d/n,3
/m/v/v/r/v,3
/a/r/v/v/v,2
/a/v/v/r/v,2
/d/a/n/u/u,2
/d/d/n/d/v,5
/d/v/n/r/v,5
/n/d/d/n/r,2
/v/n/n/d/v,17
/v/n/u/u/n,3
/v/v/nd/u/v,3
/a/v/n/r/n,2
/n/n/v/n/c,3
/v/u/v/u/n,10
/v/v/v/v/a,19
/m/n/v/v/n,4
/q/d/v/v/v,4
/u/v/n/n/n,9
/n/nh/v/n/u,3
/n/v/n/r/u,6
/v/v/n/c/n,3
/u/v/r/v/v,7
/v/v/u/v/r,8
/a/v/u/n/n,3
/m/a/v/u/n,3
/m/n/m/a/v,3
/n/m/a/v/u,3
/n/m/n/m/a,3
/v/v/v/v/q,3
/a/c/n/v/n,2
/d/u/u/n/n,3
/n/d/v/u/n,6
/d/v/v/v/q,4
/d/u/v/n/r,3
/v/u/r/u/u,3
/v/v/u/r/u,7
/v/v/v/u/r,18
/v/v/v/n/m,3
/c/v/d/v/v,2
/n/v/n/m/n,6
/v/n/n/v/u,37
/d/n/v/r/d,3
/m/n/n/v/n,9
/d/v/d/u/d,6
/r/v/v/d/v,14
/v/u/n/d/u,6
/d/u/v/v/u,7
/v/u/d/u/v,13
/n/n/u/d/n,6
/n/u/v/n/u,6
/v/r/v/v/u,14
/v/u/v/u/d,3
/c/v/u/n/n,2
/d/d/v/u/v,5
/d/u/v/d/u,2
/d/v/m/v/u,2
/d/v/r/p/v,2
/n/m/v/n/v,6
/u/d/v/u/n,4
/d/nl/r/v/v,3
/d/v/v/u/q,3
/d/u/v/r/v,12
/v/n/v/n/r,11
/d/n/v/r/n,3
/n/v/d/n/d,9
/r/v/u/d/r,3
/a/n/r/d/n,2
/n/r/d/v/v,7
/v/n/c/v/v,3
/u/v/v/r/v,17
/n/n/n/d/d,3
/n/d/v/d/v,10
/v/n/v/v/q,4
/r/n/u/d/v,4
/n/c/v/v/d,3
/v/u/v/r/d,7
/n/u/v/v/r,4
/u/m/v/v/v,3
/u/v/a/v/n,3
/d/v/n/n/d,3
/r/v/n/v/n,13
/d/v/v/d/r,3
/v/n/v/a/v,10
/u/v/n/v/u,3
/a/v/n/v/r,2
/u/d/v/r/r,3
/u/n/r/r/v,3
/v/n/n/nh/v,3
/a/a/d/v/n,2
/a/n/d/n/p,2
/a/n/r/u/n,2
/n/v/a/v/v,9
/u/v/r/n/v,3
/v/v/n/d/r,4
/d/d/u/v/v,15
/d/v/v/p/u,3
/v/m/n/n/v,7
/m/v/n/n/v,10
/u/u/v/n/r,4
/v/v/v/n/c,8
/m/v/d/n/v,3
/r/u/r/d/v,3
/a/v/n/d/v,13
/d/v/n/d/r,3
/d/v/r/v/d,3
/n/d/v/v/d,6
/n/r/v/v/u,12
/r/n/v/v/m,3
/n/a/v/u/v,3
/r/n/a/v/u,3
/u/r/v/v/r,3
/v/a/n/v/v,6
/v/r/v/v/nd,3
/d/u/u/d/d,3
/n/d/n/d/u,6
/n/v/d/u/n,6
/d/a/v/n/d,3
/n/m/n/v/v,3
/r/v/n/u/u,3
/v/n/r/n/u,3
/v/u/d/n/v,7
/v/n/r/a/v,3
/v/n/v/m/v,4
/v/v/v/u/d,10
/n/n/u/u/u,3
/p/u/r/v/n,3
/v/d/v/u/d,8
/n/a/n/v/v,3
/d/n/d/u/n,7
/r/v/u/v/n,4
/n/u/v/u/v,8
/v/n/u/v/d,8
